"Control Deficiency Risk Crosswalk
(possible risks associated with a control deficiency)",,,,,,,,,Inability to maintain individual accountability,Improper assignment of privileged functions ,Privilege escalation,Unauthorized access,"Lost, damaged or stolen asset(s)",Loss of integrity through unauthorized changes,Business interruption,Data loss / corruption,Reduction in productivity,Information loss / compromise due to technical attack,Information loss /compromise due to non‐technical attack ,Loss of revenue,Cancelled contract,Diminished competitive advantage,Diminished reputation ,Fines and judgements ,Unmitigated vulnerabilities,System compromise ,Inability to support business processes,Incorrect controls scoping,Inadequate internal practices ,Inadequate third-party practices ,Lack of oversight of internal controls ,Lack of oversight of third-party controls ,Lack of roles & responsibilities ,Illegal content or abusive action ,Inability to investigate / prosecute incidents,Improper response to incidents,Ineffective remediation actions,Expense associated with managing a loss event,Inability to maintain situational awareness,Lack of a security-minded workforce,
Business Continuity & Disaster Recovery,BCD-07,Alternative Security Measures ,BCD-07,Mechanisms exist to implement alternative or compensating controls to satisfy security functions when the primary means of implementing the security function is unavailable or compromised. ,9,Technical,Basic,Protect,,,,,,,x,x,,x,x,,,,,x,x,x,,x,,,,,,,,,x,,,,
Business Continuity & Disaster Recovery,BCD-08,Alternate Storage Site,BCD-08,Mechanisms exist to establish an alternate storage site that includes both the assets and necessary agreements to permit the storage and recovery of system backup information. ,9,Management,Enhanced,Protect,,,,,x,,x,x,x,x,x,x,x,x,x,x,,,x,,,,,,,,,,,x,,,
Business Continuity & Disaster Recovery,BCD-08(a),Separation from Primary Site ,BCD-08.1,Mechanisms exist to separate the alternate storage site from the primary storage site to reduce susceptibility to similar threats.,7,Technical,Enhanced,Protect,,,,,,,x,,x,x,x,x,x,x,x,x,,,x,,,,,,,,,,,,,,
Business Continuity & Disaster Recovery,BCD-08(b),Accessibility ,BCD-08.2,Mechanisms exist to identify and mitigate potential accessibility problems to the alternate storage site in the event of an area-wide disruption or disaster.,5,Technical,Enhanced,Protect,,,,x,,,x,,x,x,x,x,x,x,x,x,,,x,,,,,,,,,,,,,,
Business Continuity & Disaster Recovery,BCD-09,Alternate Processing Site,BCD-09,Mechanisms exist to establish an alternate processing site that provides security measures equivalent to that of the primary site.,9,Management,Enhanced,Protect,,,,,x,,x,x,x,x,x,x,x,x,x,x,,,x,,,,,,,,,,,x,,,
Business Continuity & Disaster Recovery,BCD-09(a),Separation from Primary Site,BCD-09.1,Mechanisms exist to separate the alternate processing site from the primary processing site to reduce susceptibility to similar threats.,7,Technical,Enhanced,Protect,,,,,,,x,,x,x,x,x,x,x,x,x,,,x,,,,,,,,,,,,,,
Business Continuity & Disaster Recovery,BCD-09(b),Accessibility,BCD-09.2,"Mechanisms exist to identify potential accessibility problems to the alternate processing site and possible mitigation actions, in the event of an area-wide disruption or disaster.",5,Technical,Basic,Recover,,,,x,,,x,,x,x,x,x,x,x,x,x,,,x,,,,,,,,,,,,,,
Business Continuity & Disaster Recovery,BCD-09(c),Priority of Service,BCD-09.3,"Mechanisms exist to address priority-of-service provisions in alternate processing and storage sites that support availability requirements, including Recovery Time Objectives (RTOs). ",6,Technical,Basic,Recover,,,,,,,x,,x,,,x,x,x,x,,,,x,,,,,,,,,,,,,,
Business Continuity & Disaster Recovery,BCD-09(d),Preparation for Use,BCD-09.4,Mechanisms exist to prepare the alternate processing site so that the site is ready to be used as the operational site; capable of supporting essential missions and business functions. ,5,Technical,Enhanced,Protect,,,,,,,x,,x,,,x,x,x,x,,,,x,,,,,,,,,,,,,,
Business Continuity & Disaster Recovery,BCD-09(e),Inability to Return to Primary Site,BCD-09.5,Mechanisms exist to plan and prepare for both natural and manmade circumstances that preclude returning to the primary processing site.,5,Technical,Enhanced,Protect,,,,,,,x,,x,,,x,x,x,x,,,,x,,,,,,,,,,,,,,
Business Continuity & Disaster Recovery,BCD-10,Telecommunications Services Availability,BCD-10,Mechanisms exist to reduce the likelihood of a single point of failure with primary telecommunications services.,6,Technical,Basic,Recover,,,,,,,x,,x,,,x,x,x,x,,,,x,,,,,,,,,,,,,,
Business Continuity & Disaster Recovery,BCD-10(a),Priority of Service Provisions,BCD-10.1,"Mechanisms exist to formalize primary and alternate telecommunications service agreements to contain priority-of-service provisions that support availability requirements, including Recovery Time Objectives (RTOs). ",6,Technical,Basic,Recover,,,,,,,x,,x,,,x,x,x,x,,,,x,,,,,,,,,,,,,,
Business Continuity & Disaster Recovery,BCD-10(b),Separation of Primary / Alternate Providers,BCD-10.2,Mechanisms exist to obtain alternate telecommunications services from providers that are separated from primary service providers to reduce susceptibility to the same threats. ,5,Technical,Enhanced,Protect,,,,,,,x,,x,,,x,x,x,x,,,,x,,,,,,,,,,,,,,
Business Continuity & Disaster Recovery,BCD-10(c),Provider Continency Plan ,BCD-10.3,Mechanisms exist to contractually-require telecommunications service providers to have contingency plans that meet organizational contingency requirements.,5,Technical,Enhanced,Protect,,,,,,,x,,x,,,x,x,x,x,,,,x,,,,,,,,,,,,,,
Business Continuity & Disaster Recovery,BCD-11,Data Backups,BCD-11,"Mechanisms exist to create recurring backups of data, software and system images to ensure the availability of the data.",10,Technical,Basic,Protect,,,,,,,x,,x,x,x,x,x,x,x,x,,,x,,,,,,,,,,,,,,
Business Continuity & Disaster Recovery,BCD-11(a),Testing for Reliability & Integrity ,BCD-11.1,"Mechanisms exist to routinely test backups that verifies the reliability of the backup process, as well as the integrity and availability of the data. ",9,Technical,Basic,Recover,,,,,,,x,,x,x,x,x,x,x,x,x,,,x,,,,,,,,,,,,,,
Business Continuity & Disaster Recovery,BCD-11(b),Separate Storage for Critical Information ,BCD-11.2,Mechanisms exist to store backup copies of critical software and other security-related information in a separate facility or in a fire-rated container that is not collocated with the system being backed up.,8,Technical,Enhanced,Protect,,,,,,,x,,x,x,x,x,x,x,x,x,,,x,,,,,,,,,,,,,,
Business Continuity & Disaster Recovery,BCD-11(c),Information System Imaging,BCD-11.3,"Mechanisms exist to reimage assets from configuration-controlled and integrity-protected images that represent a secure, operational state.",8,Technical,Enhanced,Recover,,,,,,,x,,x,x,x,x,x,x,x,x,,,x,,,,,,,,x,,,x,,,
Business Continuity & Disaster Recovery,BCD-11(d),Cryptographic Protection,BCD-11.4,Cryptographic mechanisms exist to prevent the unauthorized disclosure and modification of backup information.,10,Technical,Enhanced,Protect,,,,x,,x,x,x,,x,x,x,x,x,x,x,,x,,x,x,x,,,,,,,,x,,,
Business Continuity & Disaster Recovery,BCD-11(e),Test Restoration Using Sampling,BCD-11.5,Mechanisms exist to utilize sampling of available backups to test recovery capabilities as part of contingency plan testing. ,5,Technical,Enhanced,Protect,,,,x,,x,x,x,,x,x,x,x,x,x,x,,x,,x,x,x,,,,,,,,x,,,
Business Continuity & Disaster Recovery,BCD-11(f),Transfer to Alternate Storage Site,BCD-11.6,Mechanisms exist to transfer information system backup data to the alternate storage site at a rate that is capable of meeting Recovery Time Objectives (RTOs) and Recovery Point Objectives (RPOs).,5,Technical,Enhanced,Protect,,,,,,,x,,x,x,x,x,x,x,x,x,,,x,,,,,,,,,,,,,,
Business Continuity & Disaster Recovery,BCD-11(g),Redundant Secondary System,BCD-11.7,Mechanisms exist to maintain a failover system that is not collocated with the primary system and that can be activated without loss of information or disruption to operations.,5,Technical,Enhanced,Protect,,,,,,,x,,x,x,x,x,x,x,x,x,,,x,,,,,,,,,,,,,,
Business Continuity & Disaster Recovery,BCD-11(h),Dual Authorization,BCD-11.8,Mechanisms exist to implement and enforce dual authorization for the deletion or destruction of sensitive backup media and data.,5,Technical,Enhanced,Protect,x,x,,,x,,x,x,x,x,x,x,x,x,x,,,,,x,,,x,x,x,,x,,,,,,
Business Continuity & Disaster Recovery,BCD-12,Information System Recovery & Reconstitution,BCD-12,"Mechanisms exist to ensure the recovery and reconstitution of systems to a known state after a disruption, compromise or failure. ",10,Technical,Basic,Protect,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,x,x,,x,,,
Business Continuity & Disaster Recovery,BCD-12(a),Transaction Recovery,BCD-12.1,Mechanisms exist to utilize specialized backup mechanisms that will allow transaction recovery for transaction-based applications and services in accordance with Recovery Point Objectives (RPOs).,9,Technical,Enhanced,Recover,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,x,x,,x,,,
Business Continuity & Disaster Recovery,BCD-12(b),Failover Capability,BCD-12.2,Mechanisms exist to implement real-time or near-real-time failover capability to maintain availability of critical systems.,8,Technical,Enhanced,Recover,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,x,x,,x,,,
